# Metrics for NVIDIA GeForce RTX 5090
# Total: 3534
#----------------------------------------------------------------------------------------------------
# Metric Name                                                            Type            Unit           
#----------------------------------------------------------------------------------------------------
l1tex__t_bytes_pipe_lsu_mem_dshared_lookup_miss                        Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_dshared_op_atom                            Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_dshared_op_atom_lookup_miss                Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_dshared_op_ld                              Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_dshared_op_ld_lookup_miss                  Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_dshared_op_redas                           Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_dshared_op_redas_lookup_miss               Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_dshared_op_st                              Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_dshared_op_st_lookup_miss                  Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_global_op_atom                             Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_global_op_atom_lookup_hit                  Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_global_op_atom_lookup_miss                 Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_global_op_ld                               Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_global_op_ld_lookup_hit                    Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_global_op_ld_lookup_miss                   Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_global_op_ldgsts_cache_access              Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_global_op_ldgsts_cache_access_lookup_hit   Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_global_op_ldgsts_cache_access_lookup_miss  Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_global_op_red                              Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_global_op_red_lookup_hit                   Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_global_op_red_lookup_miss                  Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_global_op_st                               Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_global_op_st_lookup_hit                    Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_global_op_st_lookup_miss                   Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_lg                                         Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_lg_lookup_hit                              Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_lg_lookup_miss                             Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_local_op_ld                                Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_local_op_ld_lookup_hit                     Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_local_op_ld_lookup_miss                    Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_local_op_st                                Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_local_op_st_lookup_hit                     Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_local_op_st_lookup_miss                    Counter         byte           
l1tex__t_bytes_pipe_tex                                                Counter         byte           
l1tex__t_bytes_pipe_tex_lookup_hit                                     Counter         byte           
l1tex__t_bytes_pipe_tex_lookup_miss                                    Counter         byte           
l1tex__t_bytes_pipe_tex_mem_surface                                    Counter         byte           
l1tex__t_bytes_pipe_tex_mem_surface_lookup_hit                         Counter         byte           
l1tex__t_bytes_pipe_tex_mem_surface_lookup_miss                        Counter         byte           
l1tex__t_bytes_pipe_tex_mem_surface_op_atom                            Counter         byte           
l1tex__t_bytes_pipe_tex_mem_surface_op_atom_lookup_hit                 Counter         byte           
l1tex__t_bytes_pipe_tex_mem_surface_op_atom_lookup_miss                Counter         byte           
l1tex__t_bytes_pipe_tex_mem_surface_op_ld                              Counter         byte           
l1tex__t_bytes_pipe_tex_mem_surface_op_ld_lookup_hit                   Counter         byte           
l1tex__t_bytes_pipe_tex_mem_surface_op_ld_lookup_miss                  Counter         byte           
l1tex__t_bytes_pipe_tex_mem_surface_op_red                             Counter         byte           
l1tex__t_bytes_pipe_tex_mem_surface_op_red_lookup_hit                  Counter         byte           
l1tex__t_bytes_pipe_tex_mem_surface_op_red_lookup_miss                 Counter         byte           
l1tex__t_bytes_pipe_tex_mem_surface_op_st                              Counter         byte           
l1tex__t_bytes_pipe_tex_mem_surface_op_st_lookup_hit                   Counter         byte           
l1tex__t_bytes_pipe_tex_mem_surface_op_st_lookup_miss                  Counter         byte           
l1tex__t_bytes_pipe_tex_mem_texture                                    Counter         byte           
l1tex__t_bytes_pipe_tex_mem_texture_lookup_hit                         Counter         byte           
l1tex__t_bytes_pipe_tex_mem_texture_lookup_miss                        Counter         byte           
l1tex__t_bytes_pipe_tex_mem_texture_op_ld                              Counter         byte           
l1tex__t_bytes_pipe_tex_mem_texture_op_ld_lookup_hit                   Counter         byte           
l1tex__t_bytes_pipe_tex_mem_texture_op_ld_lookup_miss                  Counter         byte           
l1tex__t_bytes_pipe_tex_mem_texture_op_tex                             Counter         byte           
l1tex__t_bytes_pipe_tex_mem_texture_op_tex_lookup_hit                  Counter         byte           
l1tex__t_bytes_pipe_tex_mem_texture_op_tex_lookup_miss                 Counter         byte           
l1tex__t_output_wavefronts                                             Counter         #              
l1tex__t_output_wavefronts_pipe_lsu                                    Counter         #              
l1tex__t_output_wavefronts_pipe_lsu_mem_dshared                        Counter         #              
l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_atom                Counter         #              
l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_ld                  Counter         #              
l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_redas               Counter         #              
l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_st                  Counter         #              
l1tex__t_output_wavefronts_pipe_lsu_mem_global                         Counter         #              
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_atom                 Counter         #              
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_ld                   Counter         #              
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_ldgsts_cache_access  Counter         #              
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_red                  Counter         #              
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_st                   Counter         #              
l1tex__t_output_wavefronts_pipe_lsu_mem_lg                             Counter         #              
